mu_baseline,target_att,rho,study_end_week,power,mean_att,mean_se
0.4,0.05,0.9,52,0.2,0.05714014199897935,0.05004697912982612
0.4,0.08,0.5,52,0.34,0.0805143408161671,0.04874613603056211
0.4,0.08,0.7,52,0.36,0.07418332859909606,0.04883793671584866
0.4,0.08,0.9,52,0.36,0.08514561236579253,0.049751269588108105
0.4,0.1,0.5,52,0.54,0.11503145430929078,0.05083972800413075
0.4,0.1,0.7,52,0.54,0.0974735401884445,0.04871325034662687
0.4,0.1,0.9,52,0.42,0.09333870967849235,0.04971032539958223
0.4,0.12,0.5,52,0.52,0.10351762489957217,0.05019728365289665
0.4,0.12,0.7,52,0.6,0.11362427606015389,0.05055271460181052
0.4,0.12,0.9,52,0.62,0.11413615059876925,0.05013338570472669
0.4,0.15,0.5,52,0.66,0.14074116874582365,0.049625196611892866
0.4,0.15,0.7,52,0.86,0.15461446742706556,0.049194835154786266
0.4,0.15,0.9,52,0.84,0.1530601789940044,0.04832476876935065
0.4,0.2,0.5,52,1.0,0.19223589361820842,0.05046831730394127
0.4,0.2,0.7,52,0.98,0.19189507114300902,0.0504502952553946
0.4,0.2,0.9,52,0.98,0.19622795085888128,0.048749171931370364
0.4,0.25,0.5,52,1.0,0.22889975373475163,0.05136262202632239
0.4,0.25,0.7,52,1.0,0.23200319761376387,0.05204070566538506
0.4,0.25,0.9,52,1.0,0.22420007813739193,0.04952297187716252
0.4,0.3,0.5,52,1.0,0.2795482999897354,0.05277007466981845
0.4,0.3,0.7,52,1.0,0.2777391971428803,0.05075764423304041
0.4,0.3,0.9,52,1.0,0.26938311870227566,0.05272423828992262
0.4,0.4,0.5,52,1.0,0.3458402389318329,0.05479062908667686
0.4,0.4,0.7,52,1.0,0.3390120737488185,0.05399160215337658
0.4,0.4,0.9,52,1.0,0.3494571646192597,0.05352173333218919
0.5,0.02,0.5,52,0.1,0.024351489696666128,0.049787669500669415
0.5,0.02,0.7,52,0.04,0.011107848847681146,0.0486172454774433
